peptide_id	transcript_id	gene_id
TRINITY_DN9010_c0_g1_i5.p1	TRINITY_DN9010_c0_g1_i5	TRINITY_DN9010_c0_g1
TRINITY_DN9010_c0_g1_i7.p1	TRINITY_DN9010_c0_g1_i7	TRINITY_DN9010_c0_g1
TRINITY_DN9010_c0_g1_i8.p1	TRINITY_DN9010_c0_g1_i8	TRINITY_DN9010_c0_g1
TRINITY_DN9010_c0_g1_i9.p1	TRINITY_DN9010_c0_g1_i9	TRINITY_DN9010_c0_g1
TRINITY_DN946_c0_g1_i14.p1	TRINITY_DN946_c0_g1_i14	TRINITY_DN946_c0_g1
TRINITY_DN946_c0_g1_i15.p1	TRINITY_DN946_c0_g1_i15	TRINITY_DN946_c0_g1
TRINITY_DN946_c0_g1_i3.p1	TRINITY_DN946_c0_g1_i3	TRINITY_DN946_c0_g1
TRINITY_DN946_c0_g1_i4.p1	TRINITY_DN946_c0_g1_i4	TRINITY_DN946_c0_g1
TRINITY_DN946_c0_g1_i6.p1	TRINITY_DN946_c0_g1_i6	TRINITY_DN946_c0_g1
TRINITY_DN946_c0_g1_i7.p1	TRINITY_DN946_c0_g1_i7	TRINITY_DN946_c0_g1
TRINITY_DN946_c0_g1_i9.p1	TRINITY_DN946_c0_g1_i9	TRINITY_DN946_c0_g1
