Name_x	SRR14535554	SRR14535555	SRR14535556	SRR14535564	SRR14535565	SRR14535566	Mean_TPM	Max_TPM	seqid	start	end	strand	ID	Name_y	transcript_id	gene	product	gbkey	raw_attr	match_id	match_source	cyp_symbol_guess
XM_038013450.2	0.504895	0.516336	0.719931	0.758397	0.824522	0.495578	0.6366098333333333	0.824522	NC_085116.1	2579419	2587320	+	rna-XM_038013450.2	XM_038013450.2	XM_038013450.2	LOC134198643	cytochrome P450 6B2-like	mRNA	ID=rna-XM_038013450.2;Parent=gene-LOC134198643;Dbxref=GeneID:134198643,GenBank:XM_038013450.2;Name=XM_038013450.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC134198643;model_evidence=Supporting evidence includes similarity to: 40 Proteins%2C 524 long SRA reads;product=cytochrome P450 6B2-like;transcript_id=XM_038013450.2	XM_038013450.2	Name	CYP6B2-LIKE
XM_004932069.5	0.384616	0.693794	1.679989	0.195439	0.458412	0.0	0.5687083333333333	1.679989	NC_085114.1	8579562	8586020	-	rna-XM_004932069.5	XM_004932069.5	XM_004932069.5	LOC101736730	cytochrome P450 CYP12A2, transcript variant X1	mRNA	ID=rna-XM_004932069.5;Parent=gene-LOC101736730;Dbxref=GeneID:101736730,GenBank:XM_004932069.5;Name=XM_004932069.5;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736730;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 1 EST%2C 30 Proteins%2C 399 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X1;transcript_id=XM_004932069.5	XM_004932069.5	Name	CYP12A2
XM_012695537.4	0.0	0.0	0.456943	0.0	1.7923	0.972385	0.536938	1.7923	NC_085114.1	8579562	8585650	-	rna-XM_012695537.4	XM_012695537.4	XM_012695537.4	LOC101736730	cytochrome P450 CYP12A2, transcript variant X3	mRNA	ID=rna-XM_012695537.4;Parent=gene-LOC101736730;Dbxref=GeneID:101736730,GenBank:XM_012695537.4;Name=XM_012695537.4;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736730;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 14 Proteins%2C 210 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X3;transcript_id=XM_012695537.4	XM_012695537.4	Name	CYP12A2
XM_062670670.1	1.286636	0.428691	0.105734	0.52374	0.576989	0.086769	0.5014264999999999	1.286636	NC_085116.1	10472435	10489037	-	rna-XM_062670670.1	XM_062670670.1	XM_062670670.1	LOC101740852	cytochrome P450 18a1, transcript variant X2	mRNA	ID=rna-XM_062670670.1;Parent=gene-LOC101740852;Dbxref=GeneID:101740852,GenBank:XM_062670670.1;Name=XM_062670670.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101740852;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 3 ESTs%2C 8 Proteins%2C 84 long SRA reads;product=cytochrome P450 18a1%2C transcript variant X2;transcript_id=XM_062670670.1	XM_062670670.1	Name	CYP18A1
NM_001279415.2	0.899486	0.20023	0.790681	0.634336	0.056138	0.402736	0.4972678333333333	0.899486	NC_085125.1	6228409	6231590	+	rna-NM_001279415.2	NM_001279415.2	NM_001279415.2	CYP340	uncharacterized LOC101745204	mRNA	ID=rna-NM_001279415.2;Parent=gene-CYP340;Dbxref=GeneID:101745204,GenBank:NM_001279415.2;Name=NM_001279415.2;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=CYP340;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001279415.2;product=uncharacterized LOC101745204;transcript_id=NM_001279415.2	NM_001279415.2	Name	
XM_038015061.2	0.20717	0.616018	1.16264	0.171457	0.247247	0.436096	0.4734379999999999	1.16264	NC_085119.1	4507480	4522476	-	rna-XM_038015061.2	XM_038015061.2	XM_038015061.2	LOC101742941	cytochrome P450 CYP12A2, transcript variant X3	mRNA	ID=rna-XM_038015061.2;Parent=gene-LOC101742941;Dbxref=GeneID:101742941,GenBank:XM_038015061.2;Name=XM_038015061.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101742941;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 44 Proteins%2C 584 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X3;transcript_id=XM_038015061.2	XM_038015061.2	Name	CYP12A2
NM_001146725.1	0.537049	0.422493	0.338356	0.442787	0.723234	0.205495	0.4449023333333333	0.723234	NC_085117.1	12664877	12678923	+	rna-NM_001146725.1	NM_001146725.1	NM_001146725.1	P450	cytochrome P450	mRNA	ID=rna-NM_001146725.1;Parent=gene-P450;Dbxref=GeneID:100286798,GenBank:NM_001146725.1;Name=NM_001146725.1;Note=The RefSeq transcript has 35 substitutions%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=P450;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001146725.1;product=cytochrome P450;transcript_id=NM_001146725.1	NM_001146725.1	Name	
NM_001141942.1	0.727335	0.530915	0.272619	0.413018	0.452895	0.272376	0.4448596666666666	0.727335	NC_085122.1	12759903	12763047	-	rna-NM_001141942.1	NM_001141942.1	NM_001141942.1	cyp6a8	cytochrome P450 Cyp6ae21	mRNA	ID=rna-NM_001141942.1;Parent=gene-cyp6a8;Dbxref=GeneID:100196930,GenBank:NM_001141942.1;Name=NM_001141942.1;Note=The RefSeq transcript has 5 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=cyp6a8;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001141942.1;product=cytochrome P450 Cyp6ae21;transcript_id=NM_001141942.1	NM_001141942.1	Name	CYP6A8
XM_062674537.1	0.516801	0.0	0.083363	1.079621	0.207081	0.526751	0.4022695	1.079621	NC_085127.1	9531214	9539497	-	rna-XM_062674537.1	XM_062674537.1	XM_062674537.1	Cyp6b29	cytochrome P450 Cyp6b29, transcript variant X3	mRNA	ID=rna-XM_062674537.1;Parent=gene-Cyp6b29;Dbxref=GeneID:100127122,GenBank:XM_062674537.1;Name=XM_062674537.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp6b29;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 192 Proteins%2C 333 long SRA reads;product=cytochrome P450 Cyp6b29%2C transcript variant X3;transcript_id=XM_062674537.1	XM_062674537.1	Name	CYP6B29
XM_038012242.2	0.442038	0.0	1.060981	0.447163	0.0	0.0	0.3250303333333333	1.060981	NC_085114.1	3705773	3738443	-	rna-XM_038012242.2	XM_038012242.2	XM_038012242.2	LOC101736880	probable cytochrome P450 49a1-like, transcript variant X1	mRNA	ID=rna-XM_038012242.2;Parent=gene-LOC101736880;Dbxref=GeneID:101736880,GenBank:XM_038012242.2;Name=XM_038012242.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736880;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 2 ESTs%2C 2 Proteins%2C 355 long SRA reads;product=probable cytochrome P450 49a1-like%2C transcript variant X1;transcript_id=XM_038012242.2	XM_038012242.2	Name	CYP49A1-LIKE
XM_062674536.1	0.295987	0.334218	0.0	0.726544	0.068362	0.345698	0.2951348333333333	0.726544	NC_085127.1	9531214	9539508	-	rna-XM_062674536.1	XM_062674536.1	XM_062674536.1	Cyp6b29	cytochrome P450 Cyp6b29, transcript variant X2	mRNA	ID=rna-XM_062674536.1;Parent=gene-Cyp6b29;Dbxref=GeneID:100127122,GenBank:XM_062674536.1;Name=XM_062674536.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp6b29;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 192 Proteins%2C 337 long SRA reads;product=cytochrome P450 Cyp6b29%2C transcript variant X2;transcript_id=XM_062674536.1	XM_062674536.1	Name	CYP6B29
XM_012696609.4	0.386179	0.324818	0.177931	0.127519	0.148813	0.108143	0.2122338333333333	0.386179	NC_085122.1	12735070	12742157	-	rna-XM_012696609.4	XM_012696609.4	XM_012696609.4	LOC101738834	cytochrome P450 6B2	mRNA	ID=rna-XM_012696609.4;Parent=gene-LOC101738834;Dbxref=GeneID:101738834,GenBank:XM_012696609.4;Name=XM_012696609.4;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: deleted 2 bases in 1 codon;exception=unclassified transcription discrepancy;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101738834;model_evidence=Supporting evidence includes similarity to: 70 Proteins%2C 16 long SRA reads;product=cytochrome P450 6B2;transcript_id=XM_012696609.4	XM_012696609.4	Name	CYP6B2
NM_001043488.1	0.261185	0.284649	0.19606	0.323416	0.085934	0.071258	0.2037503333333333	0.323416	NC_085128.1	9453773	9462922	-	rna-NM_001043488.1	NM_001043488.1	NM_001043488.1	Cyp302a1	cytochrome P450 302A1	mRNA	ID=rna-NM_001043488.1;Parent=gene-Cyp302a1;Dbxref=GeneID:692499,GenBank:NM_001043488.1;Name=NM_001043488.1;Note=The RefSeq transcript has 3 substitutions%2C 1 non-frameshifting indel and aligns at 99%25 coverage compared to this genomic sequence;end_range=9462922,.;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp302a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001043488.1;partial=true;product=cytochrome P450 302A1;transcript_id=NM_001043488.1	NM_001043488.1	Name	CYP302A1
XM_038012512.2	0.170389	0.0	0.0	0.438148	0.256133	0.35582	0.203415	0.438148	NC_085114.1	8580747	8585877	-	rna-XM_038012512.2	XM_038012512.2	XM_038012512.2	LOC101736730	cytochrome P450 CYP12A2, transcript variant X5	mRNA	ID=rna-XM_038012512.2;Parent=gene-LOC101736730;Dbxref=GeneID:101736730,GenBank:XM_038012512.2;Name=XM_038012512.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736730;model_evidence=Supporting evidence includes similarity to: 9 Proteins%2C 14 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X5;transcript_id=XM_038012512.2	XM_038012512.2	Name	CYP12A2
NM_001279508.1	0.394196	0.0	0.042242	0.191875	0.050958	0.450248	0.1882531666666666	0.450248	NC_085128.1	13767523	13776781	+	rna-NM_001279508.1	NM_001279508.1	NM_001279508.1	CYP341B1	cytochrome P450 4C1-like	mRNA	ID=rna-NM_001279508.1;Parent=gene-CYP341B1;Dbxref=GeneID:101743078,GenBank:NM_001279508.1;Name=NM_001279508.1;Note=The RefSeq transcript aligns at 99%25 coverage compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=CYP341B1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001279508.1;partial=true;product=cytochrome P450 4C1-like;start_range=.,13767523;transcript_id=NM_001279508.1	NM_001279508.1	Name	CYP341B1
XM_062674538.1	0.0	0.0	0.682022	0.0	0.382782	0.0	0.1774673333333333	0.682022	NC_085127.1	9531214	9539483	-	rna-XM_062674538.1	XM_062674538.1	XM_062674538.1	Cyp6b29	cytochrome P450 Cyp6b29, transcript variant X4	mRNA	ID=rna-XM_062674538.1;Parent=gene-Cyp6b29;Dbxref=GeneID:100127122,GenBank:XM_062674538.1;Name=XM_062674538.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp6b29;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 192 Proteins%2C 340 long SRA reads;product=cytochrome P450 Cyp6b29%2C transcript variant X4;transcript_id=XM_062674538.1	XM_062674538.1	Name	CYP6B29
NM_001111357.1	0.098689	0.0	0.147941	0.476668	0.0	0.197062	0.1533933333333333	0.476668	NC_085121.1	16235845	16239216	-	rna-NM_001111357.1	NM_001111357.1	NM_001111357.1	Cyp337a1	cytochrome P450	mRNA	ID=rna-NM_001111357.1;Parent=gene-Cyp337a1;Dbxref=GeneID:100127027,GenBank:NM_001111357.1;Name=NM_001111357.1;Note=The RefSeq transcript has 4 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp337a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001111357.1;product=cytochrome P450;transcript_id=NM_001111357.1	NM_001111357.1	Name	CYP337A1
XM_062674535.1	0.47831	0.0	0.382662	0.059248	0.0	0.0	0.15337	0.47831	NC_085127.1	9531214	9539475	-	rna-XM_062674535.1	XM_062674535.1	XM_062674535.1	Cyp6b29	cytochrome P450 Cyp6b29, transcript variant X1	mRNA	ID=rna-XM_062674535.1;Parent=gene-Cyp6b29;Dbxref=GeneID:100127122,GenBank:XM_062674535.1;Name=XM_062674535.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp6b29;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 192 Proteins%2C 331 long SRA reads;product=cytochrome P450 Cyp6b29%2C transcript variant X1;transcript_id=XM_062674535.1	XM_062674535.1	Name	CYP6B29
XM_038018410.2	0.222228	0.0	0.0	0.384913	0.0	0.279551	0.147782	0.384913	NC_085127.1	13657774	13678900	-	rna-XM_038018410.2	XM_038018410.2	XM_038018410.2	LOC101737728	cytochrome P450 4C1, transcript variant X1	mRNA	ID=rna-XM_038018410.2;Parent=gene-LOC101737728;Dbxref=GeneID:101737728,GenBank:XM_038018410.2;Name=XM_038018410.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101737728;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 83 Proteins%2C 594 long SRA reads;product=cytochrome P450 4C1%2C transcript variant X1;transcript_id=XM_038018410.2	XM_038018410.2	Name	CYP4C1
XM_004922021.5	0.0	0.0	0.0	0.176037	0.587502	0.058984	0.1370871666666666	0.587502	NC_085132.1	6972391	6982502	-	rna-XM_004922021.5	XM_004922021.5	XM_004922021.5	LOC101738194	cytochrome P450 4c21, transcript variant X1	mRNA	ID=rna-XM_004922021.5;Parent=gene-LOC101738194;Dbxref=GeneID:101738194,GenBank:XM_004922021.5;Name=XM_004922021.5;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101738194;model_evidence=Supporting evidence includes similarity to: 3 mRNAs%2C 2 ESTs%2C 6 Proteins%2C 44 long SRA reads;product=cytochrome P450 4c21%2C transcript variant X1;transcript_id=XM_004922021.5	XM_004922021.5	Name	CYP4C21
XM_021352365.3	0.138797	0.141438	0.117962	0.239807	0.05812	0.091857	0.1313301666666666	0.239807	NC_085107.1	1056040	1071182	+	rna-XM_021352365.3	XM_021352365.3	XM_021352365.3	LOC101743283	probable cytochrome P450 303a1, transcript variant X2	mRNA	ID=rna-XM_021352365.3;Parent=gene-LOC101743283;Dbxref=GeneID:101743283,GenBank:XM_021352365.3;Name=XM_021352365.3;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101743283;model_evidence=Supporting evidence includes similarity to: 46 Proteins%2C 10 long SRA reads;product=probable cytochrome P450 303a1%2C transcript variant X2;transcript_id=XM_021352365.3	XM_021352365.3	Name	CYP303A1
XM_038013596.2	0.129444	0.139267	0.190945	0.0	0.169783	0.0	0.1049065	0.190945	NC_085117.1	12664174	12678927	+	rna-XM_038013596.2	XM_038013596.2	XM_038013596.2	P450	cytochrome P450, transcript variant X1	mRNA	ID=rna-XM_038013596.2;Parent=gene-P450;Dbxref=GeneID:100286798,GenBank:XM_038013596.2;Name=XM_038013596.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=P450;model_evidence=Supporting evidence includes similarity to: 3 mRNAs%2C 4 ESTs%2C 61 Proteins%2C 117 long SRA reads;product=cytochrome P450%2C transcript variant X1;transcript_id=XM_038013596.2	XM_038013596.2	Name	
XM_038018324.2	0.134862	0.110173	0.067591	0.089466	0.05404	0.160639	0.1027951666666666	0.160639	NC_085127.1	13691782	13704946	-	rna-XM_038018324.2	XM_038018324.2	XM_038018324.2	LOC101743022	cytochrome P450 4C1-like, transcript variant X1	mRNA	ID=rna-XM_038018324.2;Parent=gene-LOC101743022;Dbxref=GeneID:101743022,GenBank:XM_038018324.2;Name=XM_038018324.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101743022;model_evidence=Supporting evidence includes similarity to: 32 Proteins%2C 67 long SRA reads;product=cytochrome P450 4C1-like%2C transcript variant X1;transcript_id=XM_038018324.2	XM_038018324.2	Name	CYP4C1-LIKE
XM_062674539.1	0.127364	0.473338	0.0	0.0	0.0	0.0	0.100117	0.473338	NC_085127.1	9531214	9539466	-	rna-XM_062674539.1	XM_062674539.1	XM_062674539.1	Cyp6b29	cytochrome P450 Cyp6b29, transcript variant X5	mRNA	ID=rna-XM_062674539.1;Parent=gene-Cyp6b29;Dbxref=GeneID:100127122,GenBank:XM_062674539.1;Name=XM_062674539.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp6b29;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 192 Proteins%2C 330 long SRA reads;product=cytochrome P450 Cyp6b29%2C transcript variant X5;transcript_id=XM_062674539.1	XM_062674539.1	Name	CYP6B29
NM_001083609.2	0.134303	0.123853	0.060458	0.228762	0.024305	0.026852	0.0997555	0.228762	NC_085116.1	10410242	10412803	-	rna-NM_001083609.2	NM_001083609.2	NM_001083609.2	Cyp18a1	cytochrome P450 18a1	mRNA	ID=rna-NM_001083609.2;Parent=gene-Cyp18a1;Dbxref=GeneID:100036578,GenBank:NM_001083609.2;Name=NM_001083609.2;Note=The RefSeq transcript has 1 substitution compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp18a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001083609.2;product=cytochrome P450 18a1;transcript_id=NM_001083609.2	NM_001083609.2	Name	CYP18A1
NM_001287830.1	0.024472	0.293383	0.055105	0.041671	0.066429	0.09791	0.096495	0.293383	NC_085120.1	2941300	2964598	+	rna-NM_001287830.1	NM_001287830.1	NM_001287830.1	CYP49A1	probable cytochrome P450 49a1-like	mRNA	ID=rna-NM_001287830.1;Parent=gene-CYP49A1;Dbxref=GeneID:101737184,GenBank:NM_001287830.1;Name=NM_001287830.1;gbkey=mRNA;gene=CYP49A1;product=probable cytochrome P450 49a1-like;transcript_id=NM_001287830.1	NM_001287830.1	Name	CYP49A1
NM_001112755.1	0.094876	0.087486	0.237068	0.081818	0.028615	0.031591	0.0935756666666666	0.237068	NC_085127.1	9531712	9535320	-	rna-NM_001112755.1	NM_001112755.1	NM_001112755.1	Cyp6b29	cytochrome P450 Cyp6b29	mRNA	ID=rna-NM_001112755.1;Parent=gene-Cyp6b29;Dbxref=GeneID:100127122,GenBank:NM_001112755.1;Name=NM_001112755.1;Note=The RefSeq transcript has 18 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp6b29;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001112755.1;product=cytochrome P450 Cyp6b29;transcript_id=NM_001112755.1	NM_001112755.1	Name	CYP6B29
XR_009973579.1	0.230575	0.0	0.154424	0.094262	0.014776	0.0	0.0823395	0.230575	NC_085114.1	10705719	10712801	+	rna-XR_009973579.1	XR_009973579.1	XR_009973579.1	Cyp315a1	cytochrome P450, transcript variant X2	misc_RNA	ID=rna-XR_009973579.1;Parent=gene-Cyp315a1;Dbxref=GeneID:100127120,GenBank:XR_009973579.1;Name=XR_009973579.1;gbkey=misc_RNA;gene=Cyp315a1;model_evidence=Supporting evidence includes similarity to: 1 long SRA read;product=cytochrome P450%2C transcript variant X2;transcript_id=XR_009973579.1	XR_009973579.1	Name	CYP315A1
XM_062670805.1	0.0	0.0	0.0	0.291602	0.0	0.18506	0.0794436666666666	0.291602	NC_085117.1	12665038	12678927	+	rna-XM_062670805.1	XM_062670805.1	XM_062670805.1	P450	cytochrome P450, transcript variant X2	mRNA	ID=rna-XM_062670805.1;Parent=gene-P450;Dbxref=GeneID:100286798,GenBank:XM_062670805.1;Name=XM_062670805.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=P450;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 4 ESTs%2C 61 Proteins%2C 117 long SRA reads;product=cytochrome P450%2C transcript variant X2;transcript_id=XM_062670805.1	XM_062670805.1	Name	
XM_038020566.2	0.0	0.0	0.022406	0.0	0.397243	0.02985	0.0749165	0.397243	NC_085132.1	6926706	6937079	-	rna-XM_038020566.2	XM_038020566.2	XM_038020566.2	LOC101745062	cytochrome P450 4c21	mRNA	ID=rna-XM_038020566.2;Parent=gene-LOC101745062;Dbxref=GeneID:101745062,GenBank:XM_038020566.2;Name=XM_038020566.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101745062;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 11 Proteins%2C 50 long SRA reads;product=cytochrome P450 4c21;transcript_id=XM_038020566.2	XM_038020566.2	Name	CYP4C21
XM_038016273.2	0.0	0.095297	0.0	0.158183	0.167882	0.0	0.070227	0.167882	NC_085122.1	12719390	12734705	-	rna-XM_038016273.2	XM_038016273.2	XM_038016273.2	LOC119629670	cytochrome P450 6B5-like	mRNA	ID=rna-XM_038016273.2;Parent=gene-LOC119629670;Dbxref=GeneID:119629670,GenBank:XM_038016273.2;Name=XM_038016273.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC119629670;model_evidence=Supporting evidence includes similarity to: 12 Proteins%2C 24 long SRA reads;product=cytochrome P450 6B5-like;transcript_id=XM_038016273.2	XM_038016273.2	Name	CYP6B5-LIKE
XM_062674774.1	0.0	0.233637	0.0364	0.0	0.102588	0.0	0.0621041666666666	0.233637	NC_085127.1	13657774	13690963	-	rna-XM_062674774.1	XM_062674774.1	XM_062674774.1	LOC101737728	cytochrome P450 4C1, transcript variant X6	mRNA	ID=rna-XM_062674774.1;Parent=gene-LOC101737728;Dbxref=GeneID:101737728,GenBank:XM_062674774.1;Name=XM_062674774.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101737728;model_evidence=Supporting evidence includes similarity to: 46 Proteins%2C 372 long SRA reads;product=cytochrome P450 4C1%2C transcript variant X6;transcript_id=XM_062674774.1	XM_062674774.1	Name	CYP4C1
NM_001111363.1	0.125104	0.02848	0.036126	0.114378	0.034808	0.022036	0.0601553333333333	0.125104	NC_085117.1	1331665	1342671	+	rna-NM_001111363.1	NM_001111363.1	NM_001111363.1	Cyp307a1	cytochrome P450	mRNA	ID=rna-NM_001111363.1;Parent=gene-Cyp307a1;Dbxref=GeneID:100127052,GenBank:NM_001111363.1;Name=NM_001111363.1;Note=The RefSeq transcript has 145 substitutions%2C 28 non-frameshifting indels and aligns at 79%25 coverage compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp307a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001111363.1;partial=true;product=cytochrome P450;start_range=.,1331665;transcript_id=NM_001111363.1	NM_001111363.1	Name	CYP307A1
XM_062673181.1	0.094567	0.023703	0.149865	0.021829	0.023227	0.02577	0.0564935	0.149865	NC_085123.1	16141215	16153678	+	rna-XM_062673181.1	XM_062673181.1	XM_062673181.1	Cyp9a22	cytochrome P450 CYP9A22, transcript variant X2	mRNA	ID=rna-XM_062673181.1;Parent=gene-Cyp9a22;Dbxref=GeneID:100124424,GenBank:XM_062673181.1;Name=XM_062673181.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp9a22;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 1 EST%2C 364 Proteins%2C 890 long SRA reads;product=cytochrome P450 CYP9A22%2C transcript variant X2;transcript_id=XM_062673181.1	XM_062673181.1	Name	CYP9A22
XM_038020564.2	0.0	0.026677	0.0	0.098575	0.191458	0.0	0.052785	0.191458	NC_085132.1	6901694	6911145	-	rna-XM_038020564.2	XM_038020564.2	XM_038020564.2	LOC101741697	cytochrome P450 4c21	mRNA	ID=rna-XM_038020564.2;Parent=gene-LOC101741697;Dbxref=GeneID:101741697,GenBank:XM_038020564.2;Name=XM_038020564.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101741697;model_evidence=Supporting evidence includes similarity to: 11 Proteins%2C 184 long SRA reads;product=cytochrome P450 4c21;transcript_id=XM_038020564.2	XM_038020564.2	Name	CYP4C21
NM_001287834.1	0.098746	0.054635	0.014835	0.050411	0.089336	0.0	0.0513271666666666	0.098746	NC_085132.1	7049147	7061429	+	rna-NM_001287834.1	NM_001287834.1	NM_001287834.1	CYP340A3	cytochrome P450 4c21-like	mRNA	ID=rna-NM_001287834.1;Parent=gene-CYP340A3;Dbxref=GeneID:101738465,GenBank:NM_001287834.1;Name=NM_001287834.1;gbkey=mRNA;gene=CYP340A3;product=cytochrome P450 4c21-like;transcript_id=NM_001287834.1	NM_001287834.1	Name	CYP340A3
XM_062674771.1	0.0	0.0	0.0	0.0	0.306106	0.0	0.0510176666666666	0.306106	NC_085127.1	13323729	13344209	-	rna-XM_062674771.1	XM_062674771.1	XM_062674771.1	LOC101736314	cytochrome P450 6B1, transcript variant X5	mRNA	ID=rna-XM_062674771.1;Parent=gene-LOC101736314;Dbxref=GeneID:101736314,GenBank:XM_062674771.1;Name=XM_062674771.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736314;model_evidence=Supporting evidence includes similarity to: 44 Proteins%2C 564 long SRA reads;product=cytochrome P450 6B1%2C transcript variant X5;transcript_id=XM_062674771.1	XM_062674771.1	Name	CYP6B1
NM_001309538.1	0.0	0.0	0.018874	0.171313	0.045512	0.050302	0.0476668333333333	0.171313	NC_085119.1	11909499	11917916	+	rna-NM_001309538.1	NM_001309538.1	NM_001309538.1	LOC101745427	cytochrome P450 4g15-like	mRNA	ID=rna-NM_001309538.1;Parent=gene-LOC101745427;Dbxref=GeneID:101745427,GenBank:NM_001309538.1;Name=NM_001309538.1;gbkey=mRNA;gene=LOC101745427;product=cytochrome P450 4g15-like;transcript_id=NM_001309538.1	NM_001309538.1	Name	CYP4G15-LIKE
XM_062673459.1	0.037177	0.011427	0.055918	0.0	0.179348	0.0	0.0473116666666666	0.179348	NC_085123.1	15018608	15040521	-	rna-XM_062673459.1	XM_062673459.1	XM_062673459.1	LOC101742830	cytochrome P450 9e2, transcript variant X3	mRNA	ID=rna-XM_062673459.1;Parent=gene-LOC101742830;Dbxref=GeneID:101742830,GenBank:XM_062673459.1;Name=XM_062673459.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101742830;model_evidence=Supporting evidence includes similarity to: 54 Proteins%2C 10 long SRA reads;product=cytochrome P450 9e2%2C transcript variant X3;transcript_id=XM_062673459.1	XM_062673459.1	Name	CYP9E2
